"","A_1_1","A_1_2","A_1_3","A_2_1","A_2_2","A_2_3","A_3_1","A_3_2","A_3_3","A_4_1","A_4_2","A_4_3","A_5_1","A_5_2","A_5_3","A_6_1","A_6_2","A_6_3","A_7_1","A_7_2","A_7_3","A_8_1","A_8_2","A_8_3"
"lcl|NC_008562.1_cds_YP_851015.1_1.1",567.046073393023,286.141882811484,385.529552939677,779.342133638706,967.5356779882,795.414011687763,664.142956344093,595.967256513426,374.935517514169,978.864731837189,329.308695070008,582.482169050335,570.440095800547,1442.79475110511,1189.52236056399,1921.98962579534,1745.95853632825,1322.09587931545,745.710489337771,768.736565505591,775.994511439307,1891.39913260835,1078.12258179531,1405.13039833033
"lcl|NC_008562.1_cds_YP_851016.1_2.1",1595.44312924009,980.206894840082,1381.17754647892,2253.70926681063,2882.04052374145,2740.41301393943,1216.41149095114,1061.87254152099,1043.31939141843,3755.7933613909,1749.9101901827,2350.05956814495,1902.43058682613,4655.95295522457,4492.65002652903,6535.94810581666,8921.85960492971,6408.58439904911,2228.27939916731,1975.17710297013,2179.19000207293,7027.68303535352,5132.12051383429,6402.07470822349
"lcl|NC_008562.1_cds_YP_851017.1_3.1",758.553333371631,669.123749427973,580.193417621413,1105.40811986041,1467.05039171325,1217.74640044807,766.485481385796,801.089833935007,602.049336396079,1387.9195383136,623.66717486136,964.092494484928,992.991707511172,2369.57779694998,2314.80186558081,2898.12895712808,3514.57806884862,2403.71997982711,1137.15824620713,1103.40797595013,1062.75507692142,3135.75339174976,2227.59238986539,2399.95236465154
"lcl|NC_008562.1_cds_YP_851018.1_4.1",1497.38176586353,853.706040675337,738.868225323989,1975.91029689438,2325.08436229763,1528.97337663972,1657.60717050587,1412.21581067286,1142.14896964221,1834.32040472497,743.519690257856,1380.23991977473,1713.37287222695,3731.06426733063,2699.96737550571,5374.43751734131,6129.90991851836,3226.19810640874,2006.55368301754,2092.42456469088,2146.29357871121,4724.81105334503,2575.11882177786,3020.62678881962
"lcl|NC_008562.1_cds_YP_851019.1_5.1",979.394140092047,577.280598129881,1272.60329861724,1664.39290774436,2149.73155140847,3114.16558430647,1082.97859781109,1194.58048045764,1383.13552182123,1331.42251810004,2039.66389746821,2178.16922872572,1979.66228725462,3006.57504463153,3724.35085872913,2491.87957056893,3471.94561298388,3776.99910291744,3353.69976320924,2083.54875651936,1989.77784782299,3858.49601400702,3157.68668637679,5857.77846898502
"lcl|NC_008562.1_cds_YP_851020.1_6.1",1064.03740833864,668.376652504696,1282.14598822425,1499.58568846185,2131.27139951591,2506.92762764227,1194.56410011285,1105.56347466557,971.472068285971,1980.0736347408,1105.83708643943,1922.06313305015,1528.14597927016,3027.17839143856,2644.6490632194,4116.06556576538,5052.6380643992,4529.76102808876,2106.40631157153,1745.28161916625,1510.68477247837,4624.14409075217,3024.52268973282,5575.08237290441
"lcl|NC_008562.1_cds_YP_851022.1_8.1",1315.20579976341,733.972480181827,1193.95721951327,1599.4246533978,2087.89638478394,2216.03540208518,1426.34552099815,1021.32071611645,902.458552069406,2455.42020009481,1160.19104896521,2044.61421618393,1904.59383649199,4225.56165825431,4261.01246675835,4096.47080959109,4945.95069213801,4005.60315977465,2097.51705949645,1894.04479943321,1628.80574999354,5317.93531058898,3454.18308885349,5260.60722332055
"lcl|NC_008562.1_cds_YP_851023.1_9.1",323.08285019631,178.391641321663,280.42842188135,358.843694395367,308.351713068181,410.315389705633,383.877894247967,331.190766838815,331.526277166453,469.423539623101,212.4440332715,365.724248930377,351.275611140981,675.856329987886,620.328821929732,884.849379614537,703.247334210389,607.476227794714,298.186161928447,415.973132215573,283.791922084764,535.187497274914,581.169328781005,1138.01422199095
"lcl|NC_008562.1_cds_YP_851024.1_10.1",531.497102593762,291.630329124787,226.87743536221,803.500024428314,859.614203007757,629.415554337958,663.894925861206,700.16650078591,458.457109611957,1244.28508376977,226.15189017277,545.907074868603,539.112276281542,1160.73793071674,1317.18863261861,1568.06659772016,1482.27563115897,897.609292864816,1117.34125044453,722.524213248481,828.829754864866,1581.1927693582,786.397067488473,1034.00851464021
"lcl|NC_008562.1_cds_YP_851025.1_11.1",0,27.1501751031102,0,0,115.344415903875,0,45.8403639285119,17.3693999339533,0,0,0,0,0,349.728831073097,0,65.6189485337441,0,0,92.5797036082607,33.6327482892552,0,0,83.5366848247828,0
"lcl|NC_008562.1_cds_YP_851026.1_12.1",164.17798971098,124.319222840557,203.085381396644,203.803213193187,232.206521490695,251.433866624128,209.900613777923,301.679051484452,145.109514441815,189.590317139303,71.0082927339464,132.987888915359,210.675454514084,276.101708741918,304.101046539989,269.383051875371,290.053935921795,660.07299908738,643.185309278443,297.384300662888,276.19819750001,395.225700464923,626.525136185871,241.190305740522
"lcl|NC_008562.1_cds_YP_851027.1_13.1",607.035218202122,328.033622478674,320.196524673054,986.910080325915,1306.51251918516,950.540566323204,1068.14327455341,1349.10270719884,555.19297785752,1438.2489823703,675.605537107914,1139.67449602706,759.32252113876,1836.07636313376,1597.50250681247,2271.49428691468,2815.90718339419,1985.68631104878,1118.56573400666,1238.42229317148,1379.16928452313,2995.17955425203,2156.79132497958,1977.43010939318
"lcl|NC_008562.1_cds_YP_851028.1_14.1",723.310111223517,435.181859758891,512.722788304781,979.054651614332,1307.5538969304,1027.9298261006,1156.00584902647,1042.46303879072,753.153772517518,1236.26243357797,599.948193694489,828.024332211028,851.204532738551,2125.84451226534,2520.34468026464,2025.80851441766,2093.7150106309,2094.34592933884,1467.19570452919,1335.56270753229,1467.89090393544,2742.25757924771,1975.75645528916,2273.15581771093
"lcl|NC_008562.1_cds_YP_851029.1_15.1",30.5821745540061,0,24.7347579906169,11.3224007329549,86.5083119279061,119.431086646461,0,69.4775997358131,0,20.7023909519928,49.9687985905549,31.1946899924916,290.060408388956,437.161038841371,320.995549125544,43.7459656891628,209.943801238632,145.830081193724,324.028962628912,269.061986314041,64.787231512348,106.514727784873,271.494225680544,265.658887482314
"lcl|NC_008562.1_cds_YP_851030.1_16.1",2458.90821151631,1619.11044233686,2611.49848177176,3331.41311289638,3987.985385229,6101.54286309296,3659.12474054773,3474.26384093284,4158.46989729113,2394.72905724792,3579.94693769625,3119.81369195626,2712.46545435993,8277.55973655882,11146.70345259,9866.76963146066,9919.84460852539,13467.931697427,6154.76007468619,5377.15176792522,6562.12328903799,6630.10044523907,6459.785685912,10795.5112273718
"lcl|NC_008562.1_cds_YP_851031.1_17.1",561.947457429863,332.5896450131,354.943777165352,566.686156684391,449.122319425713,424.975616650324,256.706037999666,431.629588358739,182.273673418302,318.816820660689,231.730303463698,218.362829947441,588.82262902958,1407.65854506921,1516.7039696182,2250.72993470742,2277.89024343916,1743.88472094161,1036.89268041252,565.030171259487,770.968054996941,1155.68479646587,942.920329959736,790.335190259883
"lcl|NC_008562.1_cds_YP_851032.1_18.1",623.610428949082,545.364386853779,662.461344444348,682.297713733715,728.425061305992,969.295775681423,655.716510107843,761.232831888039,428.879231572476,850.598236940574,228.118428348185,882.945355874436,406.084571744538,1836.07636313376,1514.2616121792,1557.73677823584,2827.39532320289,1716.14530332324,957.998672120263,962.189059753474,1104.19977186263,1847.79897331149,2504.28452985599,2748.99196612133
"lcl|NC_008562.1_cds_YP_851033.1_19.1",2643.44671301191,1333.75235194029,1403.69751596751,2764.0810789326,3233.24815830549,2206.98695532106,2438.13435644772,1943.20161761102,1144.95437714438,3269.68387098036,1461.58735877373,2054.95020325538,3419.08706388482,6606.59619949022,5799.98832826217,8828.48270064416,10300.3677482704,7622.6598690636,3275.00701514222,2892.41635287594,3482.31369378871,9050.42327647092,7951.64818675901,5653.55319923299
"lcl|NC_008562.1_cds_YP_851034.1_20.1",704.88182813502,455.427632369855,648.23164538824,941.416197527881,1198.80827383021,1578.57796028849,673.070709389369,671.687404762998,625.013026498912,928.704208742751,685.699885536853,977.30681208184,911.214160987744,2119.69791516255,2494.95747847763,2769.06627938536,3048.98566219581,2863.24915514506,1240.79383250584,1223.08360242145,1258.21544126115,2514.13726375148,2251.67021504849,3019.03507039733
"lcl|NC_008562.1_cds_YP_851035.1_21.1",1091.51934118064,539.651628592684,906.330391557419,1277.89367284782,1627.28186758214,1730.52204149049,843.80225453594,693.489375140801,598.313002070244,1252.36686005882,628.311374870126,1134.94754824534,1393.72235734545,2561.4398646187,2222.00252339127,3841.00380223859,5084.65743308503,4016.02840884115,1608.1437404546,1180.05272392671,1231.75724109896,3065.25716625357,2815.49567372416,3409.28905602302
"lcl|NC_008562.1_cds_YP_851036.1_22.1",560.487853644331,51.832152469574,169.995245826421,665.757163097746,605.558183495343,608.01280474562,455.069794635772,610.13964858905,163.753888418582,932.73681416433,276.645439469527,488.338692427914,465.151418543744,1068.26261127782,1813.91666669489,851.853259147151,561.122523310527,389.764035190498,636.275053889501,565.030171259487,742.10828823235,1484.42797903828,877.13519066022,1217.20072082806
"lcl|NC_008562.1_cds_YP_851037.1_23.1",450.06365544439,359.15192262382,147.23997670005,486.774078755382,901.185013233227,355.472053168207,629.131923837765,700.793742217139,415.371224278854,438.173439991785,144.594751826999,237.276145927141,402.887055431589,1763.78989214424,1778.1131402348,1142.90641068222,1431.99856553516,1085.11359628401,1040.97493505981,789.707522823298,867.740793720504,1690.81646625436,1125.77193761902,768.737331887797
"lcl|NC_008562.1_cds_YP_851038.1_24.1",52.1364009001876,58.9088670133904,61.3348980431533,36.850027477735,62.5668971877107,67.8685879835978,166.95365017506,121.137143450818,128.188995414651,36.8976192982012,27.1048464679394,62.8498182136546,35.9632093057893,182.93011736019,101.984194759075,169.495439017051,130.149662760481,131.839003293219,208.048116226682,93.8241981796196,215.877749282842,185.7129478906,116.519803925343,216.154187047418
"lcl|NC_008562.1_cds_YP_851039.1_25.1",689.564166786522,341.812032502056,359.899844767649,1023.52277092598,1136.72346975539,665.527529518854,820.733985127926,634.516555818224,610.12549159819,1177.1369322138,345.484519002018,453.894236205246,718.380569179527,2187.95340569993,2076.92795839609,2692.79527865011,2645.83351966402,2370.18670048276,984.028987246525,1148.80212952635,1016.22035866052,2547.32457713529,1801.6830943291,1415.26998226911
"lcl|NC_008562.1_cds_YP_851042.1_28.1",307.489864152098,255.705285516565,358.878852300223,492.833224630799,579.867836316752,856.284700016748,676.770463817302,565.92663057535,311.912168416346,537.509350535377,254.386611006461,313.648428469961,435.617995144141,723.302809719359,947.812312327061,1436.45843699324,1309.28588772456,1138.35845198495,895.498223992631,650.6408032685,750.353935879376,1382.75482978908,770.815773610496,1327.08689701392
"lcl|NC_008562.1_cds_YP_851043.1_29.1",299.922645879898,173.65086614172,253.123208675551,560.027780415798,476.454408333899,725.68025744068,410.469045532462,433.265133377901,346.151257969663,236.133362787451,266.33116000042,269.351104960549,265.91324748754,717.65421300152,571.437254204712,811.40994227513,984.711027129424,1072.62836370409,917.807924603722,544.952957052297,621.562779483948,1010.53820421283,485.31845574601,785.8513537072
"lcl|NC_008562.1_cds_YP_851044.1_30.1",2931.1838072532,1984.85451715341,1965.02284486404,3430.08445399895,3516.29840672641,3065.3978905925,4209.44738347086,3715.20159060676,2522.52045078722,2039.98175457714,1273.90869069471,1764.99186809588,4414.06720884448,11335.1459893662,10184.4860024329,10897.1459383572,11015.5276422087,9461.12201322515,8305.87849768313,7380.49765121489,8104.15428503572,7720.74210274967,6811.20561268104,6745.22062832312
"lcl|NC_008562.1_cds_YP_851045.1_31.1",2579.86749097417,3668.45219600512,5060.0075407439,1047.34968340987,1172.71511633001,2263.36473961708,1697.54694030877,1297.11289555556,1682.04342528912,1941.53081584165,3059.73578784189,3489.54454101374,2591.01765776515,676.213489837067,815.485277973577,360.744170719657,301.090134459307,321.181861751055,753.96007401947,658.053431161963,580.714819043607,591.936115263008,389.362450488195,700.756309297859
"lcl|NC_008562.1_cds_YP_851046.1_32.1",133.032459309927,77.3779990438641,96.4655561634058,47.5540830784104,60.5558183495343,59.7155433232305,96.2647642498749,156.32459940558,36.7610769919265,46.5803796419838,89.9438374629988,28.0752209932424,69.6144980133494,196.722467478617,52.9642656057148,13.1237897067488,0,0,180.530422036108,20.1796489735531,48.590423634261,47.9316275031928,37.5915081711523,19.9244165611735
"lcl|NC_008562.1_cds_YP_851048.1_34.1",1733.23553134994,920.48906915846,838.597698621637,3391.80929908662,3939.77613358416,1420.22268096454,2806.75577692406,1977.60035392601,1348.64433060742,1660.43152490863,840.740087129035,797.155873181622,2964.9066322553,4733.98002060993,5522.67041146117,8754.99079593593,9680.81220831995,10281.8992186225,4427.09450146008,3522.92907984078,4097.9875354196,5187.78056711264,5949.72424508077,2335.71774867733
"lcl|NC_008562.1_cds_YP_851049.1_35.1",705.86965051679,452.01372604097,402.441197577064,1473.74816026785,1303.85951221069,813.4225360786,763.180112971981,591.498484237328,370.922578657276,2021.00097617833,259.972803477887,554.759622028634,856.070178272269,1968.40619110736,1724.70040989617,4113.3030981783,3842.82268618551,2887.69836453878,1576.35711549201,1196.23504726108,1078.61985436774,2690.2165706747,1754.27038132044,1168.54010642558
"lcl|NC_008562.1_cds_YP_851050.1_36.1",622.508210987467,312.584252831861,209.59452823628,777.968113519609,1046.44703639107,535.344607687207,878.204866840964,777.509191780382,383.734049301689,1186.02908164443,230.119467193345,405.120513455121,614.470075666077,1530.0636359448,1362.96399608965,2143.55231876897,1899.85328028776,1920.73567466996,1193.79091494862,898.348408252473,1378.43359678246,1810.04961755478,1300.31444931208,856.400360962722
"lcl|NC_008562.1_cds_YP_851051.1_37.1",62.402493826798,39.2413462016613,37.8531923904987,73.1601278129391,39.2264410361356,111.694659981103,109.126048542368,50.2095204568528,57.2996544206141,72.1650146140316,40.3594142462174,76.9132235037545,113.440629353737,282.473286635963,125.539149981893,182.245338842706,156.182888573274,74.3910535644096,86.5826377874827,74.3460751657219,99.1480708974395,239.98156280276,259.234287118203,135.518298877617
"lcl|NC_008562.1_cds_YP_851052.1_38.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lcl|NC_008562.1_cds_YP_851053.1_39.1",789.487601703101,432.154697978805,760.948287227258,802.664459603743,755.983464745778,1139.53992227006,846.148883215461,455.365924383132,204.878613808507,661.817198650012,621.586392658304,1105.72261024341,845.793980639898,2643.01438260019,1829.06126272428,2480.98139169621,2822.20632174608,2262.68839355357,1052.57815885825,881.734980627861,857.914995631666,1845.01147905071,1703.98874618705,2824.95230988358
"lcl|NC_008562.1_cds_YP_851054.1_40.1",249.754425524383,360.305448764192,180.357610348248,115.582840815581,54.6684471211073,46.4454225847349,675.190360363706,461.01282324701,196.569647804051,66.4201709709769,58.2969316889807,18.1969024956201,279.18314307437,969.040302765039,720.902504077784,299.842139827803,329.130646733481,248.113679808766,607.554304929211,853.43098783985,727.506620524075,225.234268128429,529.935844357216,242.137006819817
"lcl|NC_008562.1_cds_YP_851055.1_41.1",142.995558363849,133.629768085621,60.8706934925337,115.170044955525,113.542159405377,16.3284688774459,308.34807298788,347.659395553034,170.881568829658,113.782281521304,24.5940180562887,12.7946970672329,318.839839533797,796.111235577528,347.577993037503,154.307058661383,163.608548230887,115.638697196586,577.17658968275,529.715785555769,451.73909472477,393.189131862129,359.762480544231,81.7212398016883
"lcl|NC_008562.1_cds_YP_851056.1_42.1",98.5008689622897,97.9405089609129,76.4804786949135,72.9357102429608,44.5809705640743,71.8051931984858,159.456971456848,219.301994258134,189.443586952259,34.6733296312518,22.5319429227349,40.189477904437,52.3176442124865,450.570886658591,297.757834526272,231.075315695516,297.52771831978,181.616604186048,417.460626699826,242.650993792418,141.895961042382,377.375799360516,220.629097037233,154.016962374716
"lcl|NC_008562.1_cds_YP_851057.1_43.1",14167.887411565,8621.41469410582,3273.98251221256,10505.129261867,4881.16596393216,3141.3994911857,6155.11068385564,3581.25445910964,2222.37419996646,6633.2342645726,2551.81569165857,1856.08405455325,20156.5614702289,30656.9113965667,40639.4955899717,15492.0372129212,11189.0503160135,18142.5878285101,9514.6686299217,9203.14294096891,9173.28300731655,19656.8088548447,18579.3181294392,7649.76841909299
"lcl|NC_008562.1_cds_YP_851058.1_44.1",1760.1740465528,661.659822883204,718.22408387569,733.859306765593,478.465725230888,371.563380677879,1461.79827194254,774.546574832583,397.110399604144,611.870665914454,220.23285304726,291.150439929921,1985.30235075108,3830.82599221735,6832.44970675741,941.348372792724,1986.69041542484,1827.37694335345,1104.09868747629,1360.25781969876,1259.75172385121,2637.2257601551,2479.80195878013,1601.33273843506
"lcl|NC_008562.1_cds_YP_851059.1_45.1",674.950540316123,363.155208385551,499.579092918765,825.381378271773,1035.62020553184,1046.35324638349,548.770471360752,427.486377992328,348.293643474463,901.345180588197,536.368903342246,703.072678588735,818.635458325773,1532.01276159568,1622.96985283985,2352.25122514594,2608.08370280763,2734.08180887723,848.254163315179,980.705233555478,797.254339374881,2026.6631883781,1966.5706185503,1985.46176496535
"lcl|NC_008562.1_cds_YP_851060.1_46.1",17.8396018231702,0,0,0,0,0,0,0,0,0,0,0,0,51.0021211981599,0,0,0,0,0,0,0,0,0,0
"lcl|NC_008562.1_cds_YP_851061.1_47.1",59.4653394105675,137.259218576835,134.667015726692,184.932545304929,190.638687396682,170.299882810694,160.441273749791,243.171599075346,119.133119881243,185.171385737269,58.2969316889807,48.5250733216536,67.680761957423,204.00848479264,362.011647069364,374.271039785059,530.69127535321,586.020881834037,108.009654209637,366.223259149667,151.170206862145,103.555985346404,211.162175529312,258.279473941138
"lcl|NC_008562.1_cds_YP_851063.1_49.1",13.9614275137854,0,0,113.716285622286,0,36.3485915880534,146.489858641114,15.8590173310008,0,18.9021830431239,0,71.2052706350351,0,0,29.3082892679845,39.9419686727138,0,0,0,0,59.1535592069264,0,38.1363126374009,0
"lcl|NC_008562.1_cds_YP_851064.1_50.1",0,8.03033348120161,43.8954860115173,0,17.0579769998688,35.3246875996575,108.467339999859,41.0994251958331,18.1216576720764,0,14.779503808474,18.4531968969669,102.951018188756,0,18.9884691032012,0,0,0,164.296375417477,0,19.1624205881593,0,0,0
"lcl|NC_008562.1_cds_YP_851065.1_51.1",383.081975992287,322.58694892248,473.865889925502,775.882408121433,1057.07086417169,997.354337609043,764.207119702954,691.119281582562,575.601073952533,539.624164156549,296.854112679415,540.160684606828,630.499729813888,1433.42803788513,1720.70508833877,2328.89706813622,2262.42070019,1258.1042531055,1441.07617590227,1369.20688430205,1080.07134639664,2020.97680876035,1223.37276592083,1835.1436306344
"lcl|NC_008562.1_cds_YP_851066.1_52.1",425.370246069358,59.2367456795132,202.375292650502,821.388707717998,1148.20123104312,390.865374479327,1187.68215632963,549.504652455976,167.095804508757,886.43873985351,102.208906207953,119.10699815315,648.680549669847,929.960755353461,892.95125484015,2696.34224884112,2862.87001689044,1060.58240868163,1893.67575562351,1119.05326126067,1166.17016722226,1888.21562891366,1150.52797735951,815.089768411644
"lcl|NC_008562.1_cds_YP_851067.1_53.1",651.670160716984,498.88446751965,259.714958901477,1542.01107629257,1558.42179576007,743.809782276121,2229.66181902284,1394.66064175566,955.517699753383,2266.45513885457,370.356977788819,582.83608287442,886.817042706822,2808.11679067516,1888.44513864226,3998.89592240935,3954.97072627483,2094.16285714222,2058.53693905427,2129.24972625358,1760.68829168852,3601.92083148993,1973.55417898549,1025.52144064864
"lcl|NC_008562.1_cds_YP_851068.1_54.1",696.651569501428,273.802613327976,798.219986680246,1039.74181646016,1077.6882926612,1393.36267754205,1098.61482364264,1261.19507317044,988.602974472147,810.551238967854,406.102354646967,743.914047787045,791.520775434269,1452.2637900493,1862.31824518091,1946.32474464495,2135.91129988965,2837.50734254906,1329.06794841012,1492.38194951305,914.707861860778,1952.4691203278,748.290473388097,1930.52962725495
"lcl|NC_008562.1_cds_YP_851069.1_55.1",174.162892375357,77.3089731749579,211.293525885948,153.140267540644,215.537658532241,240.886428998794,342.637296482606,160.74054854133,239.881604099859,169.478895420551,62.249266040776,111.031947430902,557.50593747979,186.719630149196,525.562204161484,249.129567314554,448.354558577419,380.641228878533,296.568881050191,383.071302548805,46.1197241274342,113.736065261814,223.000472201751,236.391382929177
"lcl|NC_008562.1_cds_YP_851070.1_56.1",344.049463732569,217.201400824882,408.123506845179,373.63922418751,425.332533645538,696.681338771023,699.065549909806,277.910398943252,536.099039465594,424.399014515853,443.473087491175,530.309729872357,464.096653422329,830.605973798605,1059.2853121143,918.665279472418,1049.71900619316,777.760433033193,717.49270296402,353.143857037179,421.117004830262,918.689527144529,480.335937742501,1394.70915928215
"lcl|NC_008562.1_cds_YP_851071.1_57.1",336.75443212334,266.289539764889,318.504304899233,470.090506075977,522.272244218046,579.702752948725,648.201134633828,441.053358781358,302.304558644209,591.708738527588,261.584512965455,437.35134135605,366.52332406742,1146.8901064847,1711.30177278793,1755.72991807479,1165.36856432533,1836.8740313112,646.201025758519,692.121484852237,748.487442572456,999.834522129639,879.648472008816,1019.05683557865
"lcl|NC_008562.1_cds_YP_851073.1_59.1",251.726642811367,88.8179095081646,172.273239070327,456.4236114561,395.590773137661,319.283106009635,411.181153831124,285.940473284578,206.896513723405,404.164768082875,84.3694287760123,171.178901868346,391.800189823876,682.762064682905,403.099435811425,1052.54112421965,808.652882660361,1113.14519262948,429.867568512728,475.59072204002,464.905359797151,292.246439047943,493.664026904244,455.558268107234
"lcl|NC_008562.1_cds_YP_851074.1_60.1",38.0578172227632,4.22336057159492,84.6478384567778,42.2702960696981,80.7410911327124,43.3490610790859,106.960849166528,86.4610130045674,152.490393447991,106.272273553563,3.88646211259871,58.2300879859843,126.337422320523,244.810181751168,69.9056973651185,360.661183792875,138.796179707763,136.108075780809,244.821882875178,125.562260279886,141.092193071336,231.965407175946,142.940549589073,92.9806106188098
