"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","B_1_1","B_1_2","B_1_3","B_2_1","B_2_2","B_2_3","B_3_1","B_3_2","B_3_3","B_4_1","B_4_2","B_4_3"
"lcl|NC_010296.1_cds_WP_012267053.1_4011",12.8525835723786,5.44756790404558,1.36678485881881,3.98568060576368,6.72869734064499e-05,0.000855221413473694,5.18606913403487,43.1179985337622,11.2874739732265,0,0,1.41712519336838,86.9515012983523,2.79174387537413,3.47909086042533,0,0,0
"lcl|NZ_CP046973.1_cds_WP_158201248.1_3931",6.79365818693407,5.34471673802629,1.17719255666966,4.54022301427626,5.61947578410201e-06,0.00010611727253307,4.32172427836239,6.2537555125304,12.9473966163481,0,0,0,52.6607683919599,1.86116258358275,3.47909086042533,0,0,0
"lcl|NZ_CP020664.1_cds_WP_008201963.1_48",8.73687250257524,4.81939594855603,1.03472782491403,4.65764603262354,3.19845532573693e-06,6.52536964420359e-05,2.59303456701743,5.59546545857983,6.6396905724862,0,0,1.41712519336838,31.2290603254646,26.0562761701585,31.311817743828,0,0,0
"lcl|NZ_CP046973.1_cds_WP_233271322.1_1627",4.09926191097585,4.63689284596324,1.03551162936285,4.47787616718157,7.53893089318733e-06,0.000134148360840195,6.91475884537982,12.8366560520361,8.96358227285638,0,0,0,14.0836938722683,4.65290645895688,1.73954543021266,0,0,0
"lcl|NZ_CP134413.1_cds_RKE53_RS02840_565",6.49671031560007,4.4563717222266,1.57996238965713,2.82055557233465,0.0047940569047514,0.0257073607774044,2.59303456701743,3.94974032370341,0,0,0,1.41712519336838,17.1453664531962,10.2363942097051,42.6188630402103,0,0,0
"lcl|NC_010296.1_cds_WP_158303547.1_4188",6.62324086748311,4.3978862651056,1.001681052565,4.39050559441448,1.13087405559181e-05,0.00018914151612768,12.1008279794147,2.30401518882699,5.97572151523758,0,0,1.41712519336838,12.2466903237116,29.7786013373241,15.655908871914,0,0,0
"lcl|NZ_CP097576.1_cds_WP_190358081.1_5571",11.3663407513385,4.28811480551697,0.945917303839794,4.53328719974788,5.80727689902207e-06,0.00010901150493595,14.6938625464321,30.2813424817261,22.2429634178288,2.15555118543626,0,2.12568779005257,56.9471100052589,1.86116258358275,6.08840900574432,0,0,0
"lcl|NZ_CP046973.1_cds_WP_158201980.1_4935",3.23398059432449,4.27590593414804,1.02515819094474,4.17097182846245,3.03303360656398e-05,0.0004397752488746,4.32172427836239,8.2286256743821,5.64373698661327,0,0,0,9.1850177427837,1.86116258358275,9.56749986616965,0,0,0
"lcl|NZ_CP134413.1_cds_WP_104397930.1_1159",9.86905882577207,4.23023050349309,0.851194711183561,4.96975656440708,6.7037013003606e-07,1.68838949333705e-05,5.61824156187111,20.0778466454923,17.9271645457128,0,2.73308323742118,1.41712519336838,40.4140780682483,10.2363942097051,20.0047724474456,0,0,0
"lcl|NZ_CP011339.1_cds_WP_284526134.1_2655",9.94785659242437,4.17051576266798,0.77231719746428,5.4000037502219,6.66395038811507e-08,2.25673779359681e-06,25.4981732423381,16.7863963757395,17.5951800170884,1.07777559271813,4.09962485613177,0,27.5550532283511,10.2363942097051,16.5256815870203,0,0,0
