"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","B_1_1","B_1_2","B_1_3","B_2_1","B_2_2","B_2_3","B_3_1","B_3_2","B_3_3","B_4_1","B_4_2","B_4_3"
"lcl|NZ_CP020664.1_cds_WP_106908943.1_2411",3663.61024003241,-3.22843079298244,0.189572721961218,-17.0300387080104,4.91716892423571e-65,7.39345519448081e-61,734.693127321606,560.533980938909,617.491223241217,7730.88432656716,8566.84940769669,7203.95592048815,787.462187814656,921.275478873463,621.887491301027,5757.34413335607,5333.74793979303,5127.1976629969
"lcl|NZ_CP020664.1_cds_WP_106908092.1_165",775.99670637285,-3.95429333829879,0.236533977920556,-16.7176545757282,9.74807968007803e-63,7.32860630348266e-59,79.0875542940317,53.321494369996,85.9839929136964,1436.67486509327,1807.93456155411,1057.17539425281,94.9118500087649,149.823587978412,105.242498527866,1414.89176504055,1719.07242503968,1307.84048740102
"lcl|NZ_CP011304.1_cds_WP_235614774.1_3802",140.008830620449,-3.71761837973924,0.2306208505302,-16.1200445284648,1.84476296179549e-58,9.245951964519e-55,16.8547246856133,14.1532361599372,17.5951800170884,246.810610732452,252.810199461459,189.186213314678,26.9427187121655,22.333951002993,21.7443178776583,270.324849418317,369.873773602669,231.476192460357
"lcl|NZ_CP011304.1_cds_WP_046661578.1_1367",118.898961585938,-4.01701067604959,0.266154150455296,-15.0927974227639,1.80619231771648e-51,6.78947692229626e-48,14.6938625464321,8.55777070135739,24.2348705895746,228.488425656244,259.642907555012,187.060525524626,11.0220212913404,13.9587193768707,8.69772715106332,212.808924010164,252.186663820002,205.435120808567
"lcl|NZ_CP020664.1_cds_B5D77_RS27885_164",251.51309832519,-2.8711483834635,0.192175480516003,-14.940243030767,1.80316413620916e-50,5.42247519040819e-47,54.0215534795299,58.2586697746253,48.137756650525,412.788052011044,517.919273491314,371.995363259199,63.0704551671147,90.2663853037635,51.3165901912736,457.251606994813,516.982660831003,376.14881274808
"lcl|NZ_AP019314.1_cds_WP_125730412.1_871",504.037194523071,-2.56779849113811,0.179859127604606,-14.2767204830607,3.0565027497404e-46,7.65959589084945e-43,136.566487196252,142.848941707273,118.186492190254,837.431635541988,691.470059067559,678.094405026769,191.660703566086,148.89300668662,132.205452696162,1006.52869464267,1067.59021017134,896.970245783883
"lcl|NZ_CP011304.1_cds_WP_046662703.1_2899",821.362864072658,-3.60153371699881,0.256052630390326,-14.0655993711474,6.1797061011691e-45,1.32740087053112e-41,84.7057958559028,118.492209711102,173.627908470514,1638.21890093156,2108.57371767044,1641.03097392058,160.431643240622,93.988710470929,118.289089254461,1101.42997156612,1761.10353567634,856.46191210332
"lcl|NZ_CP011304.1_cds_WP_046662120.1_2107",132.122610406069,-3.69520987178214,0.266562143447122,-13.8624705818932,1.06929477579281e-43,2.00973953110258e-40,20.7442765361395,19.0904115645665,22.2429634178288,296.388287997486,265.109074029854,347.904234971937,21.4317080664953,22.333951002993,7.82795443595699,212.808924010164,193.343108928668,156.246429910741
"lcl|NZ_CP011304.1_cds_WP_052734168.1_1442",376.085419148438,-2.7783082248577,0.201352908381759,-13.7982026045043,2.61286319740012e-43,4.36522344845647e-40,119.711762510638,107.301278793943,108.558940860149,672.531969856114,692.836600686269,756.744853258714,70.4184693613417,87.4746414283894,79.1493170746762,785.092381821282,613.654215295337,419.550598834397
"lcl|NZ_CP011304.1_cds_WP_046663361.1_3803",129.373485924966,-3.63004753789048,0.268056138899666,-13.5421167849068,8.82098879423897e-42,1.32632387510177e-38,27.2268629536831,15.1406712408631,19.25510266021,273.755000550405,280.141031835671,251.539721822887,18.3700354855674,26.0562761701585,10.437272581276,287.579627040763,218.561775310668,124.418453447442
"lcl|NZ_CP011304.1_cds_WP_046662048.1_2008",91.2579223251328,-3.62995922391341,0.269710047341249,-13.4587467530293,2.73515937952236e-41,3.73871422095439e-38,12.5330004072509,10.8617858901844,13.943350202221,188.610728725673,122.988745683953,139.586831546785,11.634355807526,26.9868574619499,6.95818172085066,184.050961306088,197.546219992335,179.394049156777
"lcl|NZ_CP011304.1_cds_WP_052734164.1_1098",131.774143169263,-4.51548443785664,0.340066093418251,-13.2782553899103,3.09521694899372e-40,3.57997554192843e-37,9.07562098456102,11.1909309171597,11.6194585018509,266.210571401379,374.432403526702,395.377928949777,18.3700354855674,5.58348775074826,10.437272581276,175.423572494865,184.936886801334,118.631548635933
"lcl|NZ_CP046058.1_cds_WP_103112448.1_70",1030.56433379742,-2.9080457995505,0.218973629209549,-13.2803470904143,3.00995732583993e-40,3.57997554192843e-37,236.830490454259,279.114982875041,227.409402107653,2298.89533926777,2588.22982583786,1728.18417331274,320.250951965058,219.617184862765,171.345224875947,1354.50004336199,1382.82353994634,1559.57084670165
"lcl|NZ_CP011304.1_cds_WP_046663285.1_3717",129.841972833647,-3.10298935040362,0.234424627261596,-13.2366184673122,5.39225013471047e-40,5.79127664467904e-37,28.5233802371918,28.6356173468497,28.5506694616907,187.532953132955,318.404197159568,284.13360127036,25.7180496797943,18.6116258358275,33.0513631740406,273.200645688725,163.921331483001,167.820239533759
"lcl|NZ_CP020771.1_cds_WP_084989943.1_2457",3976.73569812344,-5.07350313902573,0.388495650663612,-13.0593563412084,5.62009452649352e-39,5.63358275335711e-36,337.094493712266,158.647903002087,104.243141988033,4809.0346947083,6784.87913689808,2971.0029678968,238.19812679619,271.729737203082,267.020223537644,8296.672240126,18262.5175716318,5219.78813998105
"lcl|NZ_CP046058.1_cds_WP_202861578.1_976",1020.3631652399,-4.80151939868148,0.376633421308534,-12.7485218438651,3.17712322470226e-37,2.98570155041395e-34,133.541280201398,86.5651420944997,60.4211842096245,2881.97193492828,3507.91233523008,2155.4474191133,45.3127541977329,57.6960400910654,39.1397721797849,1003.65289837226,1378.62042888268,894.076793378128
"lcl|NZ_CP011304.1_cds_WP_235614837.1_1897",46.6139199492019,-4.05824174268206,0.318670365219974,-12.7349204243724,3.7823153322678e-37,3.34534666682227e-34,6.05041398970735,6.58290053950568,6.6396905724862,88.3775986028868,121.622204065243,73.6905100551557,3.0616725809279,5.58348775074826,2.609318145319,74.7707030305983,54.640443827667,115.738096230178
